day,score_daily_activity,active_calories,average_met_minutes,equivalent_walking_distance,high_activity_met_minutes,high_activity_time,inactivity_alerts,low_activity_met_minutes,low_activity_time,medium_activity_met_minutes,medium_activity_time,meters_to_target,non_wear_time,resting_time,sedentary_met_minutes,sedentary_time,steps,target_calories,target_meters,total_calories,meet_daily_targets,move_every_hour,recovery_time,stay_active,training_frequency,training_volume,interval,vascular_age,score_daily_readiness,temperature_deviation,temperature_trend_deviation,activity_balance,body_temperature,hrv_balance,previous_day_activity,previous_night,recovery_index,resting_heart_rate,sleep_balance,score_daily_sleep,deep_sleep,efficiency,latency,rem_sleep,restfulness,timing,total_sleep,breathing_disturbance_index,average,stress_high,recovery_high,day_summary
2024-10-02,78,76,1.21875,1870,0,0,0,48,3900,31,540,7000,45540,22140,2,14280,1591,350,9000,1598,43,100,100,100,71,70,60.0,26.0,73.0,-0.24,0.0,75.0,97.0,54.0,77.0,83.0,73.0,100.0,50.0,79.0,74.0,100.0,97.0,87.0,90.0,45.0,71.0,6.0,97.962,900.0,2700.0,
2024-10-03,80,279,1.28125,6960,13,120,1,95,8040,186,3480,1800,360,57960,4,16440,7844,350,9000,1775,43,95,100,81,96,91,60.0,25.0,46.0,-0.24,0.0,81.0,97.0,73.0,77.0,1.0,19.0,74.0,7.0,19.0,14.0,1.0,1.0,8.0,89.0,1.0,9.0,6.0,97.962,1800.0,2700.0,
2024-10-04,72,0,0.96875,0,0,0,0,0,0,0,0,8900,14520,71880,0,0,0,350,9000,1382,25,100,100,81,71,75,60.0,25.0,46.0,-0.24,0.0,81.0,97.0,73.0,77.0,1.0,19.0,74.0,7.0,19.0,14.0,1.0,1.0,8.0,89.0,1.0,9.0,6.0,97.962,0.0,0.0,
2024-10-08,53,246,1.46875,5812,0,0,1,132,13080,121,2340,2700,42300,0,9,28680,6969,350,9000,1897,1,95,100,60,40,39,60.0,25.0,46.0,-0.24,0.0,81.0,97.0,73.0,77.0,1.0,19.0,74.0,7.0,19.0,14.0,1.0,1.0,8.0,89.0,1.0,9.0,6.0,97.962,3600.0,9900.0,restored
2024-10-09,54,170,1.40625,3538,0,0,1,119,12720,49,900,4600,26820,8040,13,37920,4722,350,9000,1832,1,95,100,66,40,40,60.0,25.0,46.0,-0.24,0.0,81.0,97.0,73.0,77.0,1.0,19.0,74.0,7.0,19.0,14.0,1.0,1.0,8.0,89.0,1.0,9.0,6.0,97.962,8100.0,3600.0,normal
2024-10-10,56,93,1.1875,2161,0,0,0,49,4440,45,900,6600,23520,36720,6,20820,2680,350,9000,1619,1,100,100,98,1,41,60.0,25.0,46.0,-0.24,0.0,81.0,97.0,73.0,77.0,1.0,19.0,74.0,7.0,19.0,14.0,1.0,1.0,8.0,89.0,1.0,9.0,6.0,97.962,900.0,12600.0,restored
2024-10-11,51,214,1.375,5251,0,0,2,112,9060,107,2040,3500,18660,21840,9,34800,5899,350,9000,1815,1,78,100,64,1,54,60.0,25.0,80.0,0.26,0.0,84.0,84.0,73.0,88.0,74.0,79.0,74.0,7.0,75.0,68.0,100.0,64.0,95.0,86.0,41.0,73.0,0.0,98.588,1800.0,3600.0,normal
2024-10-12,58,233,1.4375,5816,0,0,0,166,13680,75,1440,3000,47460,0,7,23820,6784,350,9000,1877,1,100,100,92,1,60,60.0,25.0,80.0,0.26,0.0,84.0,84.0,73.0,88.0,74.0,79.0,74.0,7.0,75.0,68.0,100.0,64.0,95.0,86.0,41.0,73.0,0.0,98.588,1800.0,3600.0,normal
2024-10-13,58,202,1.40625,5127,0,0,1,140,9300,69,1380,3800,58260,0,6,17460,6142,350,9000,1816,1,95,100,96,1,61,60.0,25.0,80.0,0.26,0.0,84.0,84.0,73.0,88.0,74.0,79.0,74.0,7.0,75.0,68.0,100.0,64.0,95.0,86.0,41.0,73.0,0.0,98.588,1800.0,3600.0,normal
2024-10-14,57,315,1.5,7641,0,0,0,209,18720,115,2220,900,20400,11400,11,33660,8646,350,9000,1991,1,100,100,75,1,69,60.0,25.0,80.0,0.26,0.0,84.0,84.0,73.0,88.0,74.0,79.0,74.0,7.0,75.0,68.0,100.0,64.0,95.0,86.0,41.0,73.0,0.0,98.588,1800.0,3600.0,normal
