,dateTime,index_1_aqi,index_1_category,index_1_color_red,index_1_color_green,index_1_color_blue,index_2_aqi,index_2_category,index_2_color_red,index_2_color_green,index_2_color_blue,co_concentration_value,co_concentration_units,no2_concentration_value,no2_concentration_units,o3_concentration_value,o3_concentration_units,pm10_concentration_value,pm10_concentration_units,pm25_concentration_value,pm25_concentration_units,so2_concentration_value,so2_concentration_units
0,2024-12-11T18:00:00Z,45,Moderate air quality,1.0,0.8862745,,,Acceptable air quality,1.0,1.0,,505.34,PARTS_PER_BILLION,28.89,PARTS_PER_BILLION,26.44,PARTS_PER_BILLION,55.1,MICROGRAMS_PER_CUBIC_METER,39.98,MICROGRAMS_PER_CUBIC_METER,0.46,PARTS_PER_BILLION
1,2024-12-11T17:00:00Z,45,Moderate air quality,1.0,0.8862745,,,Acceptable air quality,1.0,1.0,,1776.14,PARTS_PER_BILLION,39.96,PARTS_PER_BILLION,19.88,PARTS_PER_BILLION,58.6,MICROGRAMS_PER_CUBIC_METER,39.03,MICROGRAMS_PER_CUBIC_METER,1.14,PARTS_PER_BILLION
2,2024-12-11T16:00:00Z,64,Good air quality,0.65882355,0.8666667,0.13725491,,Good air quality,,0.89411765,,1995.26,PARTS_PER_BILLION,46.8,PARTS_PER_BILLION,10.87,PARTS_PER_BILLION,38.74,MICROGRAMS_PER_CUBIC_METER,17.31,MICROGRAMS_PER_CUBIC_METER,1.5,PARTS_PER_BILLION
3,2024-12-11T15:00:00Z,58,Moderate air quality,0.8039216,0.92156863,0.078431375,,Good air quality,,0.89411765,,2201.52,PARTS_PER_BILLION,40.43,PARTS_PER_BILLION,8.11,PARTS_PER_BILLION,49.35,MICROGRAMS_PER_CUBIC_METER,25.09,MICROGRAMS_PER_CUBIC_METER,1.51,PARTS_PER_BILLION
4,2024-12-11T14:00:00Z,56,Moderate air quality,0.85490197,0.9411765,0.05882353,,Good air quality,,0.89411765,,2582.36,PARTS_PER_BILLION,63.16,PARTS_PER_BILLION,8.61,PARTS_PER_BILLION,41.23,MICROGRAMS_PER_CUBIC_METER,17.88,MICROGRAMS_PER_CUBIC_METER,1.0,PARTS_PER_BILLION
5,2024-12-11T13:00:00Z,63,Good air quality,0.6862745,0.8745098,0.12941177,,Good air quality,,0.89411765,,1361.57,PARTS_PER_BILLION,21.54,PARTS_PER_BILLION,8.58,PARTS_PER_BILLION,40.73,MICROGRAMS_PER_CUBIC_METER,18.13,MICROGRAMS_PER_CUBIC_METER,1.0,PARTS_PER_BILLION
6,2024-12-11T12:00:00Z,60,Good air quality,0.75686276,0.90588236,0.09803922,,Good air quality,,0.89411765,,1310.11,PARTS_PER_BILLION,18.61,PARTS_PER_BILLION,9.73,PARTS_PER_BILLION,44.22,MICROGRAMS_PER_CUBIC_METER,18.27,MICROGRAMS_PER_CUBIC_METER,0.92,PARTS_PER_BILLION
7,2024-12-11T11:00:00Z,61,Good air quality,0.73333335,0.89411765,0.10980392,,Good air quality,,0.89411765,,1169.42,PARTS_PER_BILLION,18.4,PARTS_PER_BILLION,8.39,PARTS_PER_BILLION,43.83,MICROGRAMS_PER_CUBIC_METER,18.14,MICROGRAMS_PER_CUBIC_METER,0.92,PARTS_PER_BILLION
8,2024-12-11T10:00:00Z,59,Moderate air quality,0.78039217,0.9137255,0.08627451,,Acceptable air quality,1.0,1.0,,1040.14,PARTS_PER_BILLION,55.13,PARTS_PER_BILLION,2.16,PARTS_PER_BILLION,24.86,MICROGRAMS_PER_CUBIC_METER,12.22,MICROGRAMS_PER_CUBIC_METER,1.23,PARTS_PER_BILLION
9,2024-12-11T09:00:00Z,44,Moderate air quality,1.0,0.8627451,,,Poor air quality,1.0,0.49411765,,996.46,PARTS_PER_BILLION,52.24,PARTS_PER_BILLION,4.47,PARTS_PER_BILLION,80.61,MICROGRAMS_PER_CUBIC_METER,29.42,MICROGRAMS_PER_CUBIC_METER,1.23,PARTS_PER_BILLION
10,2024-12-11T08:00:00Z,43,Moderate air quality,1.0,0.8392157,,,Acceptable air quality,1.0,1.0,,996.46,PARTS_PER_BILLION,53.04,PARTS_PER_BILLION,4.47,PARTS_PER_BILLION,81.51,MICROGRAMS_PER_CUBIC_METER,31.09,MICROGRAMS_PER_CUBIC_METER,1.23,PARTS_PER_BILLION
11,2024-12-11T07:00:00Z,42,Moderate air quality,1.0,0.81960785,,,Acceptable air quality,1.0,1.0,,938.67,PARTS_PER_BILLION,58.61,PARTS_PER_BILLION,7.29,PARTS_PER_BILLION,83.51,MICROGRAMS_PER_CUBIC_METER,30.89,MICROGRAMS_PER_CUBIC_METER,1.23,PARTS_PER_BILLION
12,2024-12-11T06:00:00Z,53,Moderate air quality,0.9254902,0.96862745,0.02745098,,Acceptable air quality,1.0,1.0,,1314.87,PARTS_PER_BILLION,69.14,PARTS_PER_BILLION,2.7,PARTS_PER_BILLION,49.88,MICROGRAMS_PER_CUBIC_METER,19.14,MICROGRAMS_PER_CUBIC_METER,2.31,PARTS_PER_BILLION
13,2024-12-11T05:00:00Z,53,Moderate air quality,0.9254902,0.96862745,0.02745098,,Acceptable air quality,1.0,1.0,,1328.51,PARTS_PER_BILLION,69.62,PARTS_PER_BILLION,3.06,PARTS_PER_BILLION,48.07,MICROGRAMS_PER_CUBIC_METER,19.95,MICROGRAMS_PER_CUBIC_METER,2.32,PARTS_PER_BILLION
14,2024-12-11T04:00:00Z,51,Moderate air quality,0.972549,0.9882353,0.007843138,,Acceptable air quality,1.0,1.0,,867.63,PARTS_PER_BILLION,66.41,PARTS_PER_BILLION,29.92,PARTS_PER_BILLION,64.12,MICROGRAMS_PER_CUBIC_METER,33.45,MICROGRAMS_PER_CUBIC_METER,2.32,PARTS_PER_BILLION
15,2024-12-11T03:00:00Z,42,Moderate air quality,1.0,0.81960785,,,Acceptable air quality,1.0,1.0,,702.72,PARTS_PER_BILLION,40.04,PARTS_PER_BILLION,73.0,PARTS_PER_BILLION,63.92,MICROGRAMS_PER_CUBIC_METER,34.0,MICROGRAMS_PER_CUBIC_METER,2.32,PARTS_PER_BILLION
16,2024-12-11T02:00:00Z,52,Moderate air quality,0.9490196,0.98039216,0.019607844,,Acceptable air quality,1.0,1.0,,771.59,PARTS_PER_BILLION,55.59,PARTS_PER_BILLION,29.82,PARTS_PER_BILLION,62.62,MICROGRAMS_PER_CUBIC_METER,32.86,MICROGRAMS_PER_CUBIC_METER,2.32,PARTS_PER_BILLION
17,2024-12-11T01:00:00Z,44,Moderate air quality,1.0,0.8627451,,,Poor air quality,1.0,0.49411765,,702.72,PARTS_PER_BILLION,46.79,PARTS_PER_BILLION,70.46,PARTS_PER_BILLION,63.02,MICROGRAMS_PER_CUBIC_METER,29.22,MICROGRAMS_PER_CUBIC_METER,2.32,PARTS_PER_BILLION
18,2024-12-11T00:00:00Z,43,Moderate air quality,1.0,0.8392157,,,Poor air quality,1.0,0.49411765,,1035.79,PARTS_PER_BILLION,66.79,PARTS_PER_BILLION,67.52,PARTS_PER_BILLION,78.07,MICROGRAMS_PER_CUBIC_METER,41.44,MICROGRAMS_PER_CUBIC_METER,2.72,PARTS_PER_BILLION
19,2024-12-10T23:00:00Z,35,Low air quality,1.0,0.65882355,,,Poor air quality,1.0,0.49411765,,851.75,PARTS_PER_BILLION,51.49,PARTS_PER_BILLION,74.89,PARTS_PER_BILLION,102.89,MICROGRAMS_PER_CUBIC_METER,59.41,MICROGRAMS_PER_CUBIC_METER,4.71,PARTS_PER_BILLION
20,2024-12-10T22:00:00Z,34,Low air quality,1.0,0.6392157,,,Poor air quality,1.0,0.49411765,,827.01,PARTS_PER_BILLION,39.28,PARTS_PER_BILLION,73.67,PARTS_PER_BILLION,113.7,MICROGRAMS_PER_CUBIC_METER,62.69,MICROGRAMS_PER_CUBIC_METER,5.6,PARTS_PER_BILLION
