,dateTime,index_1_aqi,index_1_category,index_1_color_red,index_1_color_green,index_1_color_blue,index_2_aqi,index_2_category,index_2_color_red,index_2_color_green,index_2_color_blue,co_concentration_value,co_concentration_units,no2_concentration_value,no2_concentration_units,o3_concentration_value,o3_concentration_units,pm10_concentration_value,pm10_concentration_units,pm25_concentration_value,pm25_concentration_units,so2_concentration_value,so2_concentration_units
0,2024-12-11T18:00:00Z,75,Good air quality,0.43137255,0.7764706,0.20392157,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,25.85,PARTS_PER_BILLION,15.78,PARTS_PER_BILLION,16.59,MICROGRAMS_PER_CUBIC_METER,15.7,MICROGRAMS_PER_CUBIC_METER,0.57,PARTS_PER_BILLION
1,2024-12-11T17:00:00Z,75,Good air quality,0.43137255,0.7764706,0.20392157,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,24.62,PARTS_PER_BILLION,15.67,PARTS_PER_BILLION,20.78,MICROGRAMS_PER_CUBIC_METER,15.47,MICROGRAMS_PER_CUBIC_METER,0.56,PARTS_PER_BILLION
2,2024-12-11T16:00:00Z,74,Good air quality,0.44705883,0.78431374,0.2,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,22.8,PARTS_PER_BILLION,16.92,PARTS_PER_BILLION,23.06,MICROGRAMS_PER_CUBIC_METER,16.38,MICROGRAMS_PER_CUBIC_METER,0.53,PARTS_PER_BILLION
3,2024-12-11T15:00:00Z,75,Good air quality,0.43137255,0.7764706,0.20392157,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,21.81,PARTS_PER_BILLION,18.41,PARTS_PER_BILLION,17.04,MICROGRAMS_PER_CUBIC_METER,15.47,MICROGRAMS_PER_CUBIC_METER,0.49,PARTS_PER_BILLION
4,2024-12-11T14:00:00Z,82,Excellent air quality,0.30980393,0.73333335,0.20784314,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,19.4,PARTS_PER_BILLION,19.36,PARTS_PER_BILLION,16.16,MICROGRAMS_PER_CUBIC_METER,11.0,MICROGRAMS_PER_CUBIC_METER,0.5,PARTS_PER_BILLION
5,2024-12-11T13:00:00Z,80,Excellent air quality,0.34509805,0.74509805,0.20784314,2,Low air pollution,0.19215687,1,,87.33,PARTS_PER_BILLION,19.96,PARTS_PER_BILLION,17.11,PARTS_PER_BILLION,17.38,MICROGRAMS_PER_CUBIC_METER,12.37,MICROGRAMS_PER_CUBIC_METER,0.47,PARTS_PER_BILLION
6,2024-12-11T12:00:00Z,81,Excellent air quality,0.3254902,0.7411765,0.20784314,2,Low air pollution,0.19215687,1,,0.0,PARTS_PER_BILLION,21.85,PARTS_PER_BILLION,23.83,PARTS_PER_BILLION,9.43,MICROGRAMS_PER_CUBIC_METER,8.99,MICROGRAMS_PER_CUBIC_METER,0.48,PARTS_PER_BILLION
7,2024-12-11T11:00:00Z,81,Excellent air quality,0.3254902,0.7411765,0.20784314,2,Low air pollution,0.19215687,1,,0.0,PARTS_PER_BILLION,23.13,PARTS_PER_BILLION,23.91,PARTS_PER_BILLION,10.36,MICROGRAMS_PER_CUBIC_METER,10.36,MICROGRAMS_PER_CUBIC_METER,0.43,PARTS_PER_BILLION
8,2024-12-11T10:00:00Z,81,Excellent air quality,0.3254902,0.7411765,0.20784314,2,Low air pollution,0.19215687,1,,0.0,PARTS_PER_BILLION,22.68,PARTS_PER_BILLION,24.08,PARTS_PER_BILLION,9.5,MICROGRAMS_PER_CUBIC_METER,9.5,MICROGRAMS_PER_CUBIC_METER,0.49,PARTS_PER_BILLION
9,2024-12-11T09:00:00Z,82,Excellent air quality,0.30980393,0.73333335,0.20784314,2,Low air pollution,0.19215687,1,,0.0,PARTS_PER_BILLION,18.63,PARTS_PER_BILLION,22.93,PARTS_PER_BILLION,8.99,MICROGRAMS_PER_CUBIC_METER,8.98,MICROGRAMS_PER_CUBIC_METER,0.3,PARTS_PER_BILLION
